Date,IC_acct_subj,IC_acct_pol,defi_subj,defi_pol,blockchan_subj,blockchain_pol,crypto_subj,crypto_pol,avg_3k_subj,avg_3k_pol,DPI_subj,DPI_pol
11-01-22,0.193434343,0.036868687,0.271751953,0.041773318,0.281551361,0.097941612,0.24210882,0.064491162,0.265137378,0.068068697,0.255,0.081666667
12-01-22,0.207142857,0.196428571,0.372863782,0.016579181,0.277788757,0.066392183,0.322102778,0.102389556,0.324251772,0.061786973,0.575797142,0.055883722
13-01-22,0.137142857,0.04,0.411108627,0.109476084,0.310148413,0.094583405,0.253449946,0.079415043,0.324902329,0.094491511,0.384924242,-0.042689394
14-01-22,0.220695971,0.139681152,0.408224768,0.113144847,0.249667476,0.037526024,0.310153887,0.12950882,0.322682044,0.09339323,0.3625,0.0625
15-01-22,0,0,0.426629174,0.108836911,0.207605274,0.08524695,0.331240596,0.109894084,0.321825015,0.101325982,0.20984375,0.01671875
16-01-22,0,0,0.373190951,0.024390378,0.387267724,0.125687,0.260790521,0.052229374,0.340416399,0.067435584,0.298235294,0.109117647
17-01-22,0.15,0.133333333,0.329627136,0.113932268,0.298736016,0.096004743,0.215594444,0.091890873,0.281319199,0.100609295,0.38844086,-0.013315412
18-01-22,0.184949495,0.043787879,0.375845587,0.029067168,0.30892581,0.080939595,0.339079076,0.101220779,0.341283491,0.070409181,0.212222222,0.111111111
19-01-22,0.233333333,0.266666667,0.299332162,0.064692888,0.376979714,0.072571459,0.288281421,0.065891613,0.321531099,0.067718653,0.457582905,0.173800505
20-01-22,0.1,0.025,0.409656085,0.003669441,0.286758149,0.071853841,0.269902525,0.099067551,0.322105586,0.058196944,0.229901961,0.032352941
21-01-22,0.09375,-0.0265625,0.43707211,-0.033253367,0.186907948,0.005214923,0.333103806,0.021130051,0.319027955,-0.002302798,0.350657895,0.081870301
22-01-22,0,0,0.441868459,0.05935454,0.28173913,0.076086957,0.36389727,0.067039665,0.36250162,0.06749372,0.160714286,0.017857143
23-01-22,0.0859375,-0.0390625,0.398541941,0.048871459,0.29436553,0.122869318,0.29489509,0.071775974,0.32926752,0.08117225,0.257228916,0.004919679
24-01-22,0.083333333,0.083333333,0.331275794,0.131448999,0.269861111,0.08675,0.352904924,0.103397103,0.318013943,0.107198701,0.232727273,0.006818182
25-01-22,0.083333333,0.083333333,0.334780443,0.084407561,0.239528283,0.100962879,0.270211706,0.079687284,0.281506811,0.088352574,0.305912837,0.038399101
26-01-22,0.145833333,0.104166667,0.312496793,0.098078997,0.258562049,0.044628535,0.297141991,0.085155357,0.289400278,0.075954297,0.286489899,0.046085859
27-01-22,0.338359788,0.192261905,0.291215034,0.07698754,0.275638154,0.110494603,0.302627615,0.055869769,0.289826934,0.081117304,0.257340602,0.081814173
28-01-22,0.192857143,0.079988194,0.297577127,0.026220038,0.186478099,0.035804305,0.321429545,0.069246681,0.268494924,0.043757008,0.269957694,0.020267611
29-01-22,0,0,0.323054267,0.023687652,0.139911502,0.040913386,0.392265506,0.075869823,0.285077092,0.04682362,0.244760101,0.035077336
30-01-22,0,0,0.377900032,0.118300114,0.197916667,0.058614865,0.315657613,0.109540494,0.297158104,0.095485158,0.311570248,-0.002892562
31-01-22,0,0,0.377900032,0.118300114,0.197916667,0.058614865,0.315657613,0.109540494,0.297158104,0.095485158,0.311570248,-0.002892562
01-02-22,0.346590909,0.147727273,0.290676026,0.143929203,0.263611111,0.09314899,0.285985257,0.06337399,0.280090798,0.100150728,0.195142089,-0.003955453
02-02-22,0.238392857,0.087418831,0.307059744,0.072643284,0.28194962,0.028863137,0.373328391,0.068803824,0.320779252,0.056770082,0.310861449,0.070804416
03-02-22,0.1,0.025,0.339271722,0.122823527,0.370953535,0.03153447,0.143175361,0.026573918,0.284466873,0.060310638,0.194736842,0.013157895
